Epoch	Loss	Accuracy	Val Loss	Val Accuracy
1	3.3167	0.0477	3.2824	0.0424
2	3.2983	0.0490	3.2813	0.0424
3	3.2900	0.0483	3.2675	0.0463
4	3.2732	0.0568	3.2422	0.0432
5	3.2578	0.0593	3.2190	0.0451
6	3.2444	0.0621	3.2014	0.0754
7	3.2274	0.0650	3.1781	0.0820
8	3.2109	0.0678	3.1540	0.0794
9	3.1950	0.0624	3.1323	0.0839
10	3.1837	0.0613	3.1165	0.0952
11	3.1672	0.0641	3.0959	0.0922
12	3.1568	0.0644	3.0792	0.0944
13	3.1450	0.0674	3.0568	0.0933
14	3.1365	0.0704	3.0429	0.1089
15	3.1241	0.0714	3.0244	0.1172
